,玩家名称,玩家编号,总突击伤害,泰坦编号,泰坦名称,泰坦伤害,头部(装甲),身体(装甲),左臂(装甲),右臂(装甲),左手(装甲),右手(装甲),左腿(装甲),右腿(装甲),头部(肉体),身体(肉体),左臂(肉体),右臂(肉体),左手(肉体),右手(肉体),左腿(肉体),右腿(肉体),头部(骨架),身体(骨架),左臂(骨架),右臂(骨架),左手(骨架),右手(骨架),左腿(骨架),右腿(骨架),timestamp
0,もふもふ,xnxdx22,19,0,Jukk,13325999,59384,600660,688335,649491,367127,607224,430506,510781,0,5781708,0,3630778,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-04
1,もふもふ,xnxdx22,19,1,Jukk,15895148,312,0,0,4368842,0,0,0,0,0,1013582,0,4943315,743435,583400,3981961,260298,0,0,0,0,0,0,0,0,2020-12-04
2,もふもふ,xnxdx22,19,2,Takedar,3732862,0,0,0,0,0,0,0,0,3732638,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,2020-12-04
3,もふもふ,xnxdx22,19,3,Jukk,5712524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5712524,0,0,0,0,0,0,0,0,2020-12-04
4,もふもふ,xnxdx22,19,4,Takedar,20803061,808774,719889,1125990,2593349,681174,3165678,601825,4090658,0,5652793,0,0,0,0,632792,730135,0,0,0,0,0,0,0,0,2020-12-04
5,もふもふ,xnxdx22,19,5,Terro,2962542,0,0,0,0,0,0,0,0,0,1594037,0,0,0,0,1367393,0,0,0,0,0,0,0,1111,0,2020-12-04
6,もふもふ,xnxdx22,19,6,Takedar,13721143,949897,685642,589140,460933,445301,207251,578631,464290,0,5708438,0,0,0,0,0,3631615,0,0,0,0,0,0,0,0,2020-12-04
7,もふもふ,xnxdx22,19,7,Jukk,2875911,0,0,0,0,0,0,0,0,0,0,0,0,2875911,0,0,0,0,0,0,0,0,0,0,0,2020-12-04
8,Vanhelsing,g9r74w8,24,0,Jukk,13052141,50816,8376173,125867,116778,0,0,3072855,424442,0,0,0,0,459958,425249,0,0,0,0,0,0,0,0,0,0,2020-12-04
9,Vanhelsing,g9r74w8,24,1,Jukk,11587489,166911,0,0,0,0,0,0,0,0,6938066,0,492733,582299,2208213,575119,623373,0,29,0,0,713,29,0,0,2020-12-04
10,Vanhelsing,g9r74w8,24,2,Takedar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-04
11,Vanhelsing,g9r74w8,24,3,Jukk,12635491,108228,8188394,42558,68874,356688,82869,2738712,570576,0,0,0,0,478588,0,0,0,0,0,0,0,0,0,0,0,2020-12-04
12,Vanhelsing,g9r74w8,24,4,Takedar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-04
13,Vanhelsing,g9r74w8,24,5,Terro,12680862,141112,0,0,79742,0,0,0,0,0,8436586,278350,0,0,0,537971,3207099,0,0,0,0,0,0,0,0,2020-12-04
14,Vanhelsing,g9r74w8,24,6,Takedar,12381722,2287586,0,0,0,0,0,0,0,0,7622313,0,779277,0,1691832,0,0,0,0,0,0,0,713,0,0,2020-12-04
15,Vanhelsing,g9r74w8,24,7,Jukk,11653998,0,0,0,0,0,0,28233,2179023,0,9361576,0,0,22757,0,62407,0,0,0,0,0,0,0,0,0,2020-12-04
