,玩家名称,玩家编号,总突击伤害,泰坦编号,泰坦名称,泰坦伤害,头部(装甲),身体(装甲),左臂(装甲),右臂(装甲),左手(装甲),右手(装甲),左腿(装甲),右腿(装甲),头部(肉体),身体(肉体),左臂(肉体),右臂(肉体),左手(肉体),右手(肉体),左腿(肉体),右腿(肉体),头部(骨架),身体(骨架),左臂(骨架),右臂(骨架),左手(骨架),右手(骨架),左腿(骨架),右腿(骨架),timestamp
0,@_@,2nkxm92,20,0,Mohaca,21669858,0,0,294252,378290,0,3898327,316008,247297,7528755,0,0,0,403388,0,0,8603538,0,0,0,0,0,0,0,0,2020-11-17
1,@_@,2nkxm92,20,1,Jukk,17522696,2310102,2356591,0,360201,0,3448739,325204,360828,0,7661428,423144,0,276455,0,0,0,0,0,0,0,0,0,0,0,2020-11-17
2,@_@,2nkxm92,20,2,Sterl,25416817,2291,5112880,0,0,0,0,0,5571615,0,9830096,0,0,0,626827,350621,3922485,0,0,0,0,0,0,0,0,2020-11-17
3,wh,ng64n3n,20,0,Mohaca,23897574,0,79420,4869856,4383811,0,398238,408283,2687169,5531578,0,4761678,0,346517,410777,0,20241,0,0,0,0,0,0,0,0,2020-11-17
4,wh,ng64n3n,20,1,Jukk,11563211,0,0,0,0,0,0,0,0,0,0,0,9156537,0,1307670,0,1098684,0,0,0,318,0,0,0,0,2020-11-17
5,wh,ng64n3n,20,2,Sterl,23695725,0,0,0,0,0,890861,5880389,1474054,0,5196551,429354,0,0,0,9737589,86925,0,0,0,0,0,0,0,0,2020-11-17
6,もふもふ,xnxdx22,16,0,Mohaca,14992893,9395467,1919,804148,495518,416417,394496,364917,369195,0,0,0,0,2750813,0,0,0,0,0,0,0,0,0,0,0,2020-11-17
7,もふもふ,xnxdx22,16,1,Jukk,41046389,4265,6326772,2937398,1082383,1133444,1082643,1002888,1061837,0,11340573,2576601,0,593404,5566932,6337243,0,0,0,0,0,0,0,0,0,2020-11-17
8,もふもふ,xnxdx22,16,2,Sterl,2868497,0,0,0,0,0,0,0,0,0,2868497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-17
9,Vanhelsing,g9r74w8,20,0,Mohaca,23358066,2741614,180817,311332,523067,238515,453451,2969666,6807399,489815,0,6845072,562073,0,615054,0,620184,0,0,0,0,0,0,0,0,2020-11-17
10,Vanhelsing,g9r74w8,20,1,Jukk,22221028,0,0,0,0,0,0,2246923,0,0,8833191,0,0,0,449638,9905814,785460,0,0,0,0,0,0,0,0,2020-11-17
11,Vanhelsing,g9r74w8,20,2,Sterl,11846777,115525,0,0,133941,0,526338,0,0,0,7703388,0,0,0,0,2847303,520279,0,0,0,0,0,0,0,0,2020-11-17
