,玩家名称,玩家编号,总突击伤害,泰坦编号,泰坦名称,泰坦伤害,头部(装甲),身体(装甲),左臂(装甲),右臂(装甲),左手(装甲),右手(装甲),左腿(装甲),右腿(装甲),头部(肉体),身体(肉体),左臂(肉体),右臂(肉体),左手(肉体),右手(肉体),左腿(肉体),右腿(肉体),头部(骨架),身体(骨架),左臂(骨架),右臂(骨架),左手(骨架),右手(骨架),左腿(骨架),右腿(骨架),timestamp
0,⑨鱼,xnxdx22,24,0,Lojak,19648542,708551,12208563,723744,813,520218,1016568,319412,480185,0,3670484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-05
1,⑨鱼,xnxdx22,24,1,Lojak,27625788,959450,15831725,617575,0,507570,558868,485622,417128,918636,4330735,579304,0,367648,874998,446868,729655,0,0,0,0,0,0,0,0,2021-03-05
2,⑨鱼,xnxdx22,24,2,Terro,30450031,38083,0,0,0,0,0,0,0,0,24155358,716669,0,524504,845881,357068,3812343,0,0,0,0,0,122,0,0,2021-03-05
3,⑨鱼,xnxdx22,24,3,Sterl,3883608,0,0,0,0,0,0,0,0,0,3883608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-05
4,⑨鱼,xnxdx22,24,4,Lojak,34471100,778399,11797883,599605,0,401740,961067,443823,623410,5010450,4492897,0,0,360546,413629,978859,7608786,0,0,0,0,0,0,0,0,2021-03-05
5,雪中悍刀行,2ww84em,24,0,Lojak,16090749,3047928,5766142,0,0,0,0,0,4080834,0,3195843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-05
6,雪中悍刀行,2ww84em,24,1,Lojak,16625261,6482727,3827603,476783,9801,0,512569,4699462,344977,0,0,0,0,271335,0,0,0,0,0,0,0,0,0,0,0,2021-03-05
7,雪中悍刀行,2ww84em,24,2,Terro,15554734,0,3947647,387550,0,464093,458378,4474199,597825,0,5225040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-05
8,雪中悍刀行,2ww84em,24,3,Sterl,14971887,10328,0,0,10328,0,395227,9382148,547459,0,3736974,438433,0,450986,0,0,0,0,0,0,0,0,0,0,0,2021-03-05
9,雪中悍刀行,2ww84em,24,4,Lojak,33632048,6418369,12773732,745948,0,361432,343703,1795973,5087791,518189,741451,314217,0,666884,300896,3168561,394896,0,0,0,0,0,0,0,0,2021-03-05
