,玩家名称,玩家编号,总突击伤害,泰坦编号,泰坦名称,泰坦伤害,头部(装甲),身体(装甲),左臂(装甲),右臂(装甲),左手(装甲),右手(装甲),左腿(装甲),右腿(装甲),头部(肉体),身体(肉体),左臂(肉体),右臂(肉体),左手(肉体),右手(肉体),左腿(肉体),右腿(肉体),头部(骨架),身体(骨架),左臂(骨架),右臂(骨架),左手(骨架),右手(骨架),左腿(骨架),右腿(骨架),timestamp
0,もふもふ,xnxdx22,17,0,Mohaca,23326277,5730875,58172,1196085,931897,1020522,1237583,3606141,690241,0,0,0,0,0,1788358,0,7066332,0,0,0,66,0,0,0,0,2020-10-31
1,もふもふ,xnxdx22,17,1,Lojak,20356657,14840,1286443,1422772,74273,918620,1078754,983795,1215171,659937,8034543,0,0,688224,413828,1800018,1765434,0,0,0,0,0,0,0,0,2020-10-31
2,もふもふ,xnxdx22,17,2,Takedar,18098961,719294,8350385,959520,890445,525070,622702,1081082,990534,674340,575717,609249,370023,170013,690608,428243,441699,0,0,0,0,28,0,0,0,2020-10-31
3,剑圣二次污染,523dqmp,20,0,Mohaca,20109612,479403,188716,324400,349537,2527635,373020,2994489,1410401,151584,0,0,1773330,1598002,4884892,2427894,626301,0,0,0,0,0,0,0,0,2020-10-31
4,剑圣二次污染,523dqmp,20,1,Lojak,10059540,53769,2375380,0,132958,0,3954208,1392851,1721154,0,0,0,0,429217,0,0,0,0,0,0,0,0,0,0,0,2020-10-31
5,剑圣二次污染,523dqmp,20,2,Takedar,19814523,596874,628704,1404968,112112,1370120,3534462,510928,2050435,1860122,1642137,370981,5732549,0,0,0,0,0,0,0,0,0,126,0,0,2020-10-31
6,三千剑气开天门,mng2634,20,0,Mohaca,17147499,0,0,0,0,0,0,0,2097018,1996923,0,5445918,872830,0,839490,5895317,0,0,0,0,0,0,0,0,0,2020-10-31
7,三千剑气开天门,mng2634,20,1,Lojak,11903950,0,1933664,0,0,0,0,0,0,1989844,0,0,0,0,0,4065472,3914968,0,0,0,0,0,0,0,0,2020-10-31
8,三千剑气开天门,mng2634,20,2,Takedar,19324812,0,1923062,651,0,297916,0,515085,1430609,0,2092875,0,651,3555335,3760950,2156543,3591128,0,0,0,0,0,0,0,0,2020-10-31
9,wh,ng64n3n,16,0,Mohaca,11461199,0,796,0,246201,0,426944,1343600,1125880,407414,0,5926324,0,1905617,0,78419,0,0,0,0,0,0,0,0,0,2020-10-31
