,玩家名称,玩家编号,总突击伤害,泰坦编号,泰坦名称,泰坦伤害,头部(装甲),身体(装甲),左臂(装甲),右臂(装甲),左手(装甲),右手(装甲),左腿(装甲),右腿(装甲),头部(肉体),身体(肉体),左臂(肉体),右臂(肉体),左手(肉体),右手(肉体),左腿(肉体),右腿(肉体),头部(骨架),身体(骨架),左臂(骨架),右臂(骨架),左手(骨架),右手(骨架),左腿(骨架),右腿(骨架),timestamp
0,⑨鱼,xnxdx22,16,0,Takedar,23205412,1465505,681768,609819,559372,653872,413273,553520,917748,8170464,4820968,0,0,0,0,4359096,0,0,0,0,0,0,0,0,0,2021-04-29
1,⑨鱼,xnxdx22,16,1,Lojak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-29
2,⑨鱼,xnxdx22,16,2,Lojak,22840571,893982,1119878,796435,0,444243,590009,898113,863925,4390555,12841697,0,0,0,0,0,1554,0,175,0,0,0,0,0,0,2021-04-29
3,⑨鱼,xnxdx22,16,3,Jukk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-29
4,⑨鱼,xnxdx22,16,4,Takedar,5846074,601444,947459,754047,1028235,0,671529,622706,615010,0,0,0,0,605641,0,0,0,0,0,0,0,0,0,0,0,2021-04-29
5,⑨鱼,xnxdx22,16,5,Lojak,16962710,0,0,0,0,0,2526841,2621887,0,0,4487050,0,0,0,7188070,138860,0,0,0,0,0,0,0,0,0,2021-04-29
6,⑨鱼,xnxdx22,16,6,Jukk,16997885,0,5665,0,0,0,0,0,0,12470151,0,0,4519234,0,0,0,0,0,0,0,2618,0,215,0,0,2021-04-29
7,⑨鱼,xnxdx22,16,7,Takedar,6463505,1440871,930456,553262,484229,568676,559590,1091517,834901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-29
8,wh,ng64n3n,16,0,Takedar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-29
9,wh,ng64n3n,16,1,Lojak,1952133,0,0,0,0,0,0,0,0,0,1952133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-29
10,wh,ng64n3n,16,2,Lojak,38408938,2417024,23388115,1751544,0,1634148,2390058,2827107,2150102,0,0,645383,0,1205452,0,0,0,0,0,0,0,0,0,0,0,2021-04-29
11,wh,ng64n3n,16,3,Jukk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-29
12,wh,ng64n3n,16,4,Takedar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-29
13,wh,ng64n3n,16,5,Lojak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-29
14,wh,ng64n3n,16,6,Jukk,41019541,11063983,2505019,0,2089593,3110332,3585519,0,0,693150,0,2541632,1595753,2048830,6097301,2500106,3188317,0,0,0,0,0,0,0,0,2021-04-29
15,wh,ng64n3n,16,7,Takedar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-29
16,雪中悍刀行,2ww84em,16,0,Takedar,19454032,0,0,0,0,0,0,0,0,8331071,4101146,742045,562713,0,904120,2009895,2795144,0,0,0,0,0,0,164,7729,2021-04-29
