,玩家名称,玩家编号,总突击伤害,泰坦编号,泰坦名称,泰坦伤害,头部(装甲),身体(装甲),左臂(装甲),右臂(装甲),左手(装甲),右手(装甲),左腿(装甲),右腿(装甲),头部(肉体),身体(肉体),左臂(肉体),右臂(肉体),左手(肉体),右手(肉体),左腿(肉体),右腿(肉体),头部(骨架),身体(骨架),左臂(骨架),右臂(骨架),左手(骨架),右手(骨架),左腿(骨架),右腿(骨架),timestamp
0,もふもふ,xnxdx22,20,0,Jukk,13335292,0,0,0,0,0,0,3062778,0,0,0,0,0,0,0,0,10271722,0,0,0,0,0,0,0,791,2021-01-12
1,もふもふ,xnxdx22,20,1,Jukk,4194174,0,831327,0,775539,191734,522878,552775,488200,0,0,626647,0,205070,0,0,0,0,0,0,0,0,0,0,0,2021-01-12
2,もふもふ,xnxdx22,20,2,Takedar,15895556,0,0,0,0,0,0,0,0,0,3503376,0,7288466,0,5103152,0,0,0,0,0,561,0,0,0,0,2021-01-12
3,もふもふ,xnxdx22,20,3,Terro,17223724,0,0,0,0,0,736793,737980,0,0,13782962,823463,0,467644,0,0,674879,0,0,0,0,0,0,0,0,2021-01-12
4,もふもふ,xnxdx22,20,4,Jukk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12
5,もふもふ,xnxdx22,20,5,Jukk,16119611,0,0,0,0,0,0,0,0,0,4527677,0,0,0,0,0,11589958,0,1976,0,0,0,0,0,0,2021-01-12
6,もふもふ,xnxdx22,20,6,Terro,15781439,0,0,0,0,0,0,3046529,0,0,8948489,0,0,0,0,0,3786421,0,0,0,0,0,0,0,0,2021-01-12
7,もふもふ,xnxdx22,20,7,Terro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12
8,舞醉剑,rq79w8n,20,0,Jukk,13371215,0,2557377,0,2572080,0,0,0,0,0,3406992,0,0,0,4834765,0,0,0,0,0,0,0,0,0,0,2021-01-12
9,舞醉剑,rq79w8n,20,1,Jukk,12347297,0,0,0,0,0,0,2049685,0,0,0,0,186115,0,1450706,0,8657394,0,0,0,1244,0,2152,0,0,2021-01-12
10,舞醉剑,rq79w8n,20,2,Takedar,6189557,0,0,0,0,0,0,0,0,6019516,167059,0,0,0,0,0,0,0,2981,0,0,0,0,0,0,2021-01-12
11,舞醉剑,rq79w8n,20,3,Terro,6886920,0,4510826,0,0,0,0,0,0,0,0,0,0,0,0,0,2376093,0,0,0,0,0,0,0,0,2021-01-12
12,舞醉剑,rq79w8n,20,4,Jukk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12
13,舞醉剑,rq79w8n,20,5,Jukk,12588806,0,2575496,0,0,0,3269969,0,0,0,0,0,0,0,6743340,0,0,0,0,0,0,0,0,0,0,2021-01-12
14,舞醉剑,rq79w8n,20,6,Terro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12
15,舞醉剑,rq79w8n,20,7,Terro,12707375,0,0,452915,0,0,0,682409,453171,0,2569240,0,0,423654,8125982,0,0,0,0,0,0,0,0,0,0,2021-01-12
16,剑圣二次污染,523dqmp,20,0,Jukk,12576944,19825,0,0,0,0,0,305059,2925821,0,3162313,0,607286,711914,4844695,0,0,0,0,28,0,0,0,0,0,2021-01-12
17,剑圣二次污染,523dqmp,20,1,Jukk,6993724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6993724,0,0,0,0,0,0,0,0,0,2021-01-12
