,玩家名称,玩家编号,总突击伤害,泰坦编号,泰坦名称,泰坦伤害,头部(装甲),身体(装甲),左臂(装甲),右臂(装甲),左手(装甲),右手(装甲),左腿(装甲),右腿(装甲),头部(肉体),身体(肉体),左臂(肉体),右臂(肉体),左手(肉体),右手(肉体),左腿(肉体),右腿(肉体),头部(骨架),身体(骨架),左臂(骨架),右臂(骨架),左手(骨架),右手(骨架),左腿(骨架),右腿(骨架),timestamp
0,⑨鱼,xnxdx22,24,0,Terro,15953748,0,7203467,0,0,282480,0,565968,387939,0,5768204,972993,0,0,772695,0,0,0,0,0,0,0,0,0,0,2021-02-01
1,⑨鱼,xnxdx22,24,1,Mohaca,32344445,6921167,1055,988056,559842,347675,841264,4906803,3726448,0,0,0,1926003,0,0,0,12121509,0,0,0,4619,0,0,0,0,2021-02-01
2,⑨鱼,xnxdx22,24,2,Jukk,22117498,329,15655976,1316010,974961,473390,1226661,1058533,973583,0,0,0,0,438050,0,0,0,0,0,0,0,0,0,0,0,2021-02-01
3,⑨鱼,xnxdx22,24,3,Jukk,36078705,329,15159302,677337,596659,325779,568641,793902,299663,0,0,0,0,0,0,7284131,10370603,0,0,0,0,0,0,2354,0,2021-02-01
4,剑圣二次污染,523dqmp,24,0,Terro,11369444,31579,0,0,55366,0,0,537812,0,0,3104820,0,0,6940750,0,0,699085,0,0,29,0,0,0,0,0,2021-02-01
5,剑圣二次污染,523dqmp,24,1,Mohaca,25984311,3082381,66014,0,273100,4631325,336137,372472,3451261,3123177,0,1001920,4075292,360995,4389048,417582,403425,0,0,175,0,0,0,0,0,2021-02-01
6,剑圣二次污染,523dqmp,24,2,Jukk,19825568,0,0,0,0,0,0,5654578,0,0,3005184,102059,191100,0,4294459,6578185,0,0,0,0,0,0,0,0,0,2021-02-01
7,剑圣二次污染,523dqmp,24,3,Jukk,19413045,0,2890703,0,0,0,4101273,0,0,0,2870654,0,4035396,0,0,5515017,0,0,0,0,0,0,0,0,0,2021-02-01
8,wh,ng64n3n,20,0,Terro,13816901,0,0,0,0,0,0,961779,1236611,0,3313120,6833111,0,1291791,0,0,180368,0,0,119,0,0,0,0,0,2021-02-01
9,wh,ng64n3n,20,1,Mohaca,15181382,0,33727,0,0,0,0,0,0,1110355,0,0,865364,6409012,956702,4731769,1074235,0,0,214,0,0,0,0,0,2021-02-01
10,wh,ng64n3n,20,2,Jukk,27488182,0,3294750,0,9492472,0,379798,352671,971367,0,0,442927,0,648086,0,0,11906108,0,0,0,0,0,0,0,0,2021-02-01
11,wh,ng64n3n,20,3,Jukk,18715853,298,0,0,7453431,0,0,761809,3169544,0,3884723,1153676,107241,905128,1279999,0,0,0,0,0,0,0,0,0,0,2021-02-01
12,三千剑气开天门,mng2634,22,0,Terro,10997098,0,2362364,5051736,0,11289,0,0,0,0,0,1335381,0,0,2236327,0,0,0,0,0,0,0,0,0,0,2021-02-01
13,三千剑气开天门,mng2634,22,1,Mohaca,26032438,4197936,0,0,0,0,2488652,0,612313,9019337,0,3104300,0,2099382,308232,4201645,0,0,0,637,0,0,0,0,0,2021-02-01
14,三千剑气开天门,mng2634,22,2,Jukk,13000774,0,2657278,0,0,0,0,0,3397229,0,0,4322993,0,2623273,0,0,0,0,0,0,0,0,0,0,0,2021-02-01
15,三千剑气开天门,mng2634,22,3,Jukk,20480611,0,2602788,1269,0,7690638,0,287,0,0,0,0,295557,0,0,6974511,2912736,0,0,0,2763,0,57,0,0,2021-02-01
16,yycxx,b65mrx8,24,0,Terro,18434356,2616,930569,1055746,0,299258,7187505,639892,374141,0,3984249,0,0,0,0,3867396,92650,0,0,0,0,0,0,328,0,2021-02-01
17,yycxx,b65mrx8,24,1,Mohaca,14541734,643810,70514,204231,1060676,306645,5716654,3418372,941956,623514,0,498108,524280,532969,0,0,0,0,0,0,0,0,0,0,0,2021-02-01
18,yycxx,b65mrx8,24,2,Jukk,23100273,820,0,0,499365,0,2571960,1100569,2194759,0,2983504,527952,3072967,236832,2135959,0,7773107,0,2472,0,0,0,0,0,0,2021-02-01
19,yycxx,b65mrx8,24,3,Jukk,11532780,273,0,0,534617,0,0,6423036,103826,0,664973,3224056,0,216566,365431,0,0,0,0,0,0,0,0,0,0,2021-02-01
20,舞醉剑,rq79w8n,20,0,Terro,11845306,0,474617,0,0,0,0,0,2198170,0,9172518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-02-01
21,舞醉剑,rq79w8n,20,1,Mohaca,14118915,0,0,0,0,0,0,0,0,2880047,0,0,0,3791919,4931372,0,2515575,0,0,0,0,0,0,0,0,2021-02-01
22,舞醉剑,rq79w8n,20,2,Jukk,25069104,0,2831353,0,0,0,4408345,0,0,0,0,0,0,6333240,0,11496164,0,0,0,0,0,0,0,0,0,2021-02-01
23,舞醉剑,rq79w8n,20,3,Jukk,16343071,0,2750973,0,0,0,0,0,0,0,2924206,2693833,0,3488539,4485458,0,0,0,0,0,0,59,0,0,0,2021-02-01
