,玩家名称,玩家编号,总突击伤害,泰坦编号,泰坦名称,泰坦伤害,头部(装甲),身体(装甲),左臂(装甲),右臂(装甲),左手(装甲),右手(装甲),左腿(装甲),右腿(装甲),头部(肉体),身体(肉体),左臂(肉体),右臂(肉体),左手(肉体),右手(肉体),左腿(肉体),右腿(肉体),头部(骨架),身体(骨架),左臂(骨架),右臂(骨架),左手(骨架),右手(骨架),左腿(骨架),右腿(骨架),timestamp
0,⑨鱼,xnxdx22,28,0,Mohaca,46653159,9075921,235754,1261248,1051790,2034361,2224374,2206750,1650807,9389224,0,3245521,2145821,3200002,2009606,3054790,3867184,0,0,0,0,0,0,0,0,2021-04-12
1,⑨鱼,xnxdx22,28,1,Takedar,44570793,4453865,22323960,1545927,1249887,1618597,2099217,3421012,3001623,0,0,0,0,484720,146157,1977532,2248289,0,0,0,0,0,0,0,0,2021-04-12
2,⑨鱼,xnxdx22,28,2,Jukk,65675001,55254,12938441,1174181,636277,1504572,1876368,10382909,1867742,0,9302118,2309185,2525765,3496783,3621915,6525532,7457952,0,0,0,0,0,0,0,0,2021-04-12
3,wh,ng64n3n,23,0,Mohaca,37214267,1048537,101657,714652,1458600,0,1872138,8836015,1571186,1502245,0,1342016,2373166,1763686,2781990,9420622,2427752,0,0,0,0,0,0,0,0,2021-04-12
4,wh,ng64n3n,23,1,Takedar,38281395,8161910,2374575,7552537,2276778,1053534,2296979,932112,2274388,561451,0,1042731,1789182,1366747,2172240,2115342,2310880,0,0,0,0,0,0,0,0,2021-04-12
5,wh,ng64n3n,23,2,Jukk,37135817,0,1713763,9392099,2038487,1746268,2559150,13249200,5927743,0,0,0,0,509105,0,0,0,0,0,0,0,0,0,0,0,2021-04-12
6,剑圣二次污染,523dqmp,28,0,Mohaca,35920079,621473,90024,3189706,1294447,8048705,1195944,1784004,1811869,636613,0,3452174,0,3237905,1868,7979480,2575568,0,0,0,0,72,218,0,0,2021-04-12
7,剑圣二次污染,523dqmp,28,1,Takedar,44931560,1641195,1531723,1992132,2015562,7009704,6860340,2169856,2551745,7153817,2060029,2005175,2890531,1809196,3240548,0,0,0,0,0,0,0,0,0,0,2021-04-12
8,剑圣二次污染,523dqmp,28,2,Jukk,31385657,161929,1845861,38742,46288,5898718,1803055,1701905,1219694,0,4822010,42454,908715,0,1914683,7815136,3166333,0,0,0,0,0,125,0,0,2021-04-12
9,yycxx,b65mrx8,28,0,Mohaca,40485390,1466288,53382,916357,1839271,6717449,1137957,1759454,1537435,1594071,0,3064723,8230945,0,10203215,1107365,851322,0,0,6149,0,0,0,0,0,2021-04-12
