玩家名称,玩家编号,总突击伤害,泰坦编号,泰坦名称,泰坦伤害,头部(装甲),身体(装甲),左臂(装甲),右臂(装甲),左手(装甲),右手(装甲),左腿(装甲),右腿(装甲),头部(肉体),身体(肉体),左臂(肉体),右臂(肉体),左手(肉体),右手(肉体),左腿(肉体),右腿(肉体),头部(骨架),身体(骨架),左臂(骨架),右臂(骨架),左手(骨架),右手(骨架),左腿(骨架),右腿(骨架)
⑨鱼,xnxdx22,23,0,Terro the Seeker,20478590,0,0,0,0,0,0,0,2137138,0,10232446,606388,0,580851,755111,723240,5443415,0,0,0,0,0,0,0,0
⑨鱼,xnxdx22,23,1,Terro the Seeker,12329413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12329413,0,0,0,0,0,0,0,0,0
⑨鱼,xnxdx22,23,2,Sterl the Unmaker,28834502,1055,17470166,2320996,0,1008648,1934883,1105641,946090,0,4047019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
⑨鱼,xnxdx22,23,3,Lojak the Fissure,19671801,706300,12094175,770128,0,240222,701343,736013,468656,0,3954876,0,0,0,0,0,0,0,0,0,0,0,83,0,0
⑨鱼,xnxdx22,23,4,Terro the Seeker,36957022,844,0,0,0,0,0,0,0,0,30093620,1777034,0,1522463,1401514,832455,1328843,0,0,0,0,0,246,0,0
舞醉剑,rq79w8n,24,0,Terro the Seeker,15837894,0,8995816,548281,0,580131,438152,482045,4793465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
舞醉剑,rq79w8n,24,1,Terro the Seeker,15572637,0,0,0,0,0,0,0,0,0,3179963,759112,0,5994464,554976,4653385,430734,0,0,0,0,0,0,0,0
舞醉剑,rq79w8n,24,2,Sterl the Unmaker,16395620,316,3157683,640095,0,566221,422374,6585456,5023472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
舞醉剑,rq79w8n,24,3,Lojak the Fissure,15118700,3090318,5214684,0,0,0,0,0,0,0,4025387,0,0,0,2788309,0,0,0,0,0,0,0,0,0,0
舞醉剑,rq79w8n,24,4,Terro the Seeker,30452752,1264,0,0,0,0,0,0,0,0,11239235,507094,0,597374,563674,2709412,14834060,0,0,0,0,0,0,0,636
剑圣二次污染,523dqmp,24,0,Terro the Seeker,15135040,105995,3757783,349136,104019,5312860,479585,4523120,502538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
剑圣二次污染,523dqmp,24,1,Terro the Seeker,15158498,64287,3452352,0,63998,0,0,0,0,0,3883889,216428,0,5315648,595769,852792,713330,0,0,0,0,0,0,0,0
剑圣二次污染,523dqmp,24,2,Sterl the Unmaker,14860152,67504,0,0,158602,0,524169,0,0,0,3711628,414636,0,510664,8494922,486425,491598,0,0,0,0,0,0,0,0
剑圣二次污染,523dqmp,24,3,Lojak the Fissure,28839698,2968671,3236543,0,0,0,4524607,3582357,0,3016727,3281064,0,0,0,4490868,3738859,0,0,0,0,0,0,0,0,0
剑圣二次污染,523dqmp,24,4,Terro the Seeker,15200594,87736,0,0,141077,0,0,0,0,0,3885307,50298,0,657256,5282353,4560365,536200,0,0,0,0,0,0,0,0
gegeeey,b6667p5,24,0,Terro the Seeker,13470505,0,0,0,0,0,0,0,0,0,3543329,0,0,0,7708606,502259,1715844,0,0,0,0,0,465,0,0
gegeeey,b6667p5,24,1,Terro the Seeker,8823086,0,0,0,0,0,0,0,0,0,8823086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gegeeey,b6667p5,24,2,Sterl the Unmaker,17193856,0,19674,25996,102162,10974,71105,1808174,1781380,0,7182416,2192980,0,585659,577374,795153,2040803,0,0,0,0,0,0,0,0
gegeeey,b6667p5,24,3,Lojak the Fissure,13186651,0,0,0,0,0,0,0,0,4727765,3126136,1238288,0,303299,1049399,589164,2152597,0,0,0,0,0,0,0,0
gegeeey,b6667p5,24,4,Terro the Seeker,27169933,0,0,0,0,0,0,6358033,0,0,7052260,544025,0,352628,440458,11208793,1213732,0,0,0,0,0,0,0,0
*･'(*ﾟ▽ﾟ*)'･*,32d47b9,24,0,Terro the Seeker,13114338,10837,0,0,41518,0,0,0,0,0,4303308,756672,0,83687,5883277,308681,1726353,0,0,0,0,0,0,0,0
*･'(*ﾟ▽ﾟ*)'･*,32d47b9,24,1,Terro the Seeker,13191754,833,0,0,886,0,0,0,0,0,4160832,664476,0,370047,6035435,270349,1688892,0,0,0,0,0,0,0,0
*･'(*ﾟ▽ﾟ*)'･*,32d47b9,24,2,Sterl the Unmaker,12589883,5585,0,0,62157,0,0,0,0,0,8878232,803209,0,154659,883865,258613,1543561,0,0,0,0,0,0,0,0
*･'(*ﾟ▽ﾟ*)'･*,32d47b9,24,3,Lojak the Fissure,12729533,7878111,2122260,186264,59250,336116,673350,160843,1313337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*･'(*ﾟ▽ﾟ*)'･*,32d47b9,24,4,Terro the Seeker,25705881,196627,4149809,5998011,39986,272469,811524,171952,1863669,0,3788433,2055533,0,351103,378844,240862,5386659,0,0,0,0,132,263,0,0
雪中悍刀行,2ww84em,18,0,Terro the Seeker,14515803,0,0,0,0,0,0,0,0,0,9794790,0,0,0,0,4721013,0,0,0,0,0,0,0,0,0
雪中悍刀行,2ww84em,18,1,Terro the Seeker,13472807,0,0,0,0,0,0,0,0,0,8742398,0,0,0,0,0,4730409,0,0,0,0,0,0,0,0
