玩家名称,玩家编号,总突击伤害,泰坦编号,泰坦名称,泰坦伤害,头部(装甲),身体(装甲),左臂(装甲),右臂(装甲),左手(装甲),右手(装甲),左腿(装甲),右腿(装甲),头部(肉体),身体(肉体),左臂(肉体),右臂(肉体),左手(肉体),右手(肉体),左腿(肉体),右腿(肉体),头部(骨架),身体(骨架),左臂(骨架),右臂(骨架),左手(骨架),右手(骨架),左腿(骨架),右腿(骨架)
⑨鱼,xnxdx22,25,0,Sterl,16185318,0,13249455,0,0,470700,589066,685654,583422,0,0,607018,0,0,0,0,0,0,0,0,0,0,0,0,0
⑨鱼,xnxdx22,25,1,Lojak,13577127,0,0,0,0,0,0,0,0,6702444,3733934,0,0,0,0,2416535,716857,0,0,0,0,0,0,5865,1490
⑨鱼,xnxdx22,25,2,Lojak,16489011,0,623929,0,0,0,0,0,0,769717,12624949,796991,0,408626,0,1264796,0,0,0,0,0,0,0,0,0
⑨鱼,xnxdx22,25,3,Mohaca,13026204,0,0,0,0,0,0,0,0,0,0,0,7976232,0,0,516995,4527640,0,0,0,4144,0,33,0,1158
⑨鱼,xnxdx22,25,4,Mohaca,17559650,573739,1004,954981,1461839,348199,800768,750856,1060694,2225828,0,765719,7652023,322058,636934,0,0,2347,0,2654,0,0,0,0,0
⑨鱼,xnxdx22,25,5,Mohaca,12666955,0,0,0,0,0,0,3044180,0,0,0,0,9621435,0,1339,0,0,0,0,0,0,0,0,0,0
⑨鱼,xnxdx22,25,6,Lojak,15054737,1607603,4718171,477789,0,721339,700031,1255336,936339,0,3327229,833663,0,0,474552,0,0,66,2612,0,0,0,0,0,0
剑圣二次污染,523dqmp,28,0,Sterl,11517353,0,0,0,0,0,0,0,0,0,2442279,0,0,0,0,4092216,4982856,0,0,0,0,0,0,0,0
剑圣二次污染,523dqmp,28,1,Lojak,12101260,486458,3271337,0,31316,0,2536098,0,2843370,0,0,0,0,243700,1792476,896500,0,0,0,0,0,0,0,0,0
剑圣二次污染,523dqmp,28,2,Lojak,12239486,3395840,3001723,385779,10438,317675,4323475,466668,337885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
剑圣二次污染,523dqmp,28,3,Mohaca,12342489,2900810,6600,0,308824,0,363076,2862905,430159,0,0,664210,0,4805901,0,0,0,0,0,0,0,0,0,0,0
剑圣二次污染,523dqmp,28,4,Mohaca,12247555,0,60292,0,0,0,0,0,0,499344,0,413155,368995,0,4613244,5887124,405130,0,0,0,0,268,0,0,0
剑圣二次污染,523dqmp,28,5,Mohaca,11957005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2454088,9502916,0,0,0,0,0,0,0,0
剑圣二次污染,523dqmp,28,6,Lojak,12260994,525288,2947547,0,25470,336146,4582300,2560629,390597,0,0,893014,0,0,0,0,0,0,0,0,0,0,0,0,0
三千剑气开天门,mng2634,27,0,Sterl,11193975,0,0,0,0,0,0,0,0,0,2182118,0,0,0,0,9011856,0,0,0,0,0,0,0,0,0
三千剑气开天门,mng2634,27,1,Lojak,11340392,0,2333877,0,0,0,0,0,6783891,0,0,0,0,0,0,2222564,0,0,0,0,0,58,0,0,0
三千剑气开天门,mng2634,27,2,Lojak,11969705,0,2446606,0,0,0,0,2689423,0,0,0,0,0,585,0,4516833,2316255,0,0,0,0,0,0,0,0
三千剑气开天门,mng2634,27,3,Mohaca,9480042,0,0,0,886,0,0,2733254,2312284,0,0,0,0,0,2394325,0,2039290,0,0,0,0,0,0,0,0
三千剑气开天门,mng2634,27,4,Mohaca,11621216,2476672,0,0,0,4588555,0,886,0,0,0,0,0,4555102,0,0,0,0,0,0,0,0,0,0,0
三千剑气开天门,mng2634,27,5,Mohaca,12008382,2516881,0,0,0,0,0,2814686,0,0,0,2361373,0,4315440,0,0,0,0,0,0,0,0,0,0,0
三千剑气开天门,mng2634,27,6,Lojak,12040306,0,0,0,0,0,0,0,0,8947649,624650,0,0,0,0,0,2467186,0,0,0,0,0,0,0,820
渡红尘,5288gen,28,0,Sterl,10586238,0,6112930,0,6076,0,4467231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
渡红尘,5288gen,28,1,Lojak,10780290,6187539,4566892,0,6958,0,0,0,0,0,0,0,0,0,18900,0,0,0,0,0,0,0,0,0,0
渡红尘,5288gen,28,2,Lojak,11084256,6457767,4626489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
渡红尘,5288gen,28,3,Mohaca,11731144,6889465,0,0,9595,0,2708567,0,0,0,0,99047,0,2024467,0,0,0,0,0,0,0,0,0,0,0
渡红尘,5288gen,28,4,Mohaca,11346458,6497877,0,0,0,0,4848580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
渡红尘,5288gen,28,5,Mohaca,11402491,0,0,0,0,0,4706871,0,0,6695619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
渡红尘,5288gen,28,6,Lojak,11639155,2369911,2356341,0,0,2746220,0,0,0,0,0,4166682,0,0,0,0,0,0,0,0,0,0,0,0,0
cong,gmyr876,28,0,Sterl,10447940,0,6091029,0,0,0,0,0,2567332,0,0,1789577,0,0,0,0,0,0,0,0,0,0,0,0,0
cong,gmyr876,28,1,Lojak,11453927,0,0,0,0,0,0,0,0,6801972,1681650,0,0,0,0,0,2970303,0,0,0,0,0,0,0,0
